Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,2.2u,
C3,0603,1,0.22u,
"C4, C5",0603,2,1u,
C6,0603,1,10n,
D1,LED_D5.0mm-4_RGB,1,QBL8RGB60D0-2897,
J1,PinHeader_1x03_P2.54mm_Vertical,1,TEMP,
J2,PinHeader_1x02_P2.54mm_Horizontal,1,HEAT,
J3,PinHeader_1x02_P2.54mm_Horizontal,1,BATT,
J4,USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal,1,USB_C_Receptacle_PowerOnly_6P,
J5,PinHeader_1x03_P2.54mm_Vertical,1,PROG,
Q1,SOT-23,1,DMN3300U,
"R1, R2",0603,2,5.1k,
"R3, R4",0603,2,100k,
R5,0603,1,100,
R6,0603,1,10k,
SW1,SW_SPST_EVQP7C,1,SW_Push,
U1,SOIC-14_3.9x8.7mm_P1.27mm,1,ATtiny204-SS,
U2,SOT-23-5,1,MCP73811T-420I-OT,
U3,TSOT-23-6,1,REG710NA-3.3/3K,
