Designator,Mid X,Mid Y,Rotation,Layer
C1,134.366,-98.298,180.0,top
C2,130.302,-95.758,270.0,top
C3,136.652,-95.758,90.0,top
C4,127.762,-88.9,0.0,top
C5,130.556,-92.456,270.0,top
C6,137.922,-98.298,180.0,top
D1,129.032,-102.738,90.0,top
J1,143.017,-102.362,90.0,top
J2,145.739,-89.657,0.0,top
J3,145.739,-96.012,0.0,top
J4,121.2525,-95.967,270.0,top
J5,134.112,-102.362,90.0,top
Q1,133.35,-91.694,270.0,top
R1,127.254,-94.234,0.0,top
R2,127.254,-96.012,0.0,top
R3,137.16,-90.424,0.0,top
R4,137.16,-91.948,180.0,top
R5,136.906,-88.9,180.0,top
R6,133.35,-88.9,0.0,top
SW1,119.126,-96.266,90.0,bottom
U1,131.318,-93.472,270.0,bottom
U2,127.508,-91.44,180.0,top
U3,133.4825,-95.504,0.0,top
