Designator,Footprint,Quantity,Value,Digikey Part #,Order Quantity
C10,0603,1,10u,0603DD106MAT2A,10
"C4, C5",0603,2,1u,CL10A105KL8NNNC,10
"C6, C9",0603,2,10n,KGM15AR51V104KT,10
C7,0603,1,47p,0603N470J500CT,10
C8,0603,1,2.2n,8.85012E+11,10
D1,LED_D5.0mm-4_RGB_Wide_Pins,1,QBL8RGB60D0-2897,QBL8RGB60D0-2897,10
D2,D_SMA,1,B340,B340AF-13,10
J4,USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal,1,USB_C_Receptacle_PowerOnly_6P,USB4135-GF-A,5
L1,L_Bourns_SRP1038C_10.0x10.0mm,1,6.8uH,SRP1038CC-6R8M,5
"Q1, Q2",SOT-23,2,DMN2024U-7,DMN2024U-7,10
"R1, R2",0603,2,5.1k,RMCF0603FT5K10,10
R10,0603,1,51k,RMCF0603FT51K0,10
"R11, R5",0603,2,100,RMCF0603FT100R,10
"R12, R15, R6",0603,3,10k,WR06X103 JTL,10
R13,0603,1,190k,RMCF0603FT191K,10
R14,0603,1,108.8k,RN73R1JTTD1093D25,10
"R3, R4",0603,2,100k,WR06X104 JTL,10
R7,0603,1,55,RMCF0603FT56R0,10
"R8, R9",0603,2,5,RK73B1JTTD5R1J,10
SW1,SW_SPST_EVQP7C,1,SW_Push,EVQ-P7C01P,10
U1,SOIC-14_3.9x8.7mm_P1.27mm,1,ATtiny204-SS,ATTINY204-SSN,5
U2,SOT-23-5,1,MCP73811T-420I-OT,MCP73811T-420I/OT,5
U3,SOT-23,1,MCP1703Ax-330xxTT,MCP1703AT-3302E/CB,5
U4,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,1,PAM2423AECADJR,PAM2423AECADJR,5
,,,Contact Pads,1618-2-57-15-00-00-03-0,10
